,PC_0
480,-11.51110897712448
481,-11.545189362163965
482,84.91842127413197
483,-11.498362979460815
484,-11.386073140442724
485,-11.568880429200144
486,-11.54842634936151
487,-11.532524851211766
488,-11.524108644216657
489,-11.524667516583158
491,-11.547004963026717
492,-21.027760949214542
493,-11.461314194558737
494,44.47829194634153
495,-11.55453616154725
496,-11.545081857164204
497,-11.520627961875356
498,-11.498229644784614
499,-11.555065909848661
500,-11.557412384676296
501,-11.480046923945908
502,-11.531443651562896
503,34.33760550880078
505,-36.17626896411372
506,-11.538413533262823
507,-11.550665027977297
508,-11.547716454854335
509,-11.533926502358977
510,-11.565071185022223
511,22.153293168116665
512,-11.535366914737153
513,-11.565325375420654
514,-11.537852996457696
515,25.00903950085696
516,-11.565514856039142
518,-11.4417779584128
519,-11.481524053031226
520,-11.543513116022128
521,-11.498519778159803
522,-11.578182188656534
523,-11.511755048790327
524,-11.547862751233446
525,-32.47838174345182
526,-7.52837619106587
527,-11.520840326238941
528,-11.529843079395937
529,49.736710767253705
530,-11.500725702168518
531,-11.523119218736248
532,-11.531890667774457
533,-11.513036325356664
534,-11.552615689258397
536,-35.96709978163156
537,0.11413812803642095
538,-11.533868489877069
539,-11.46846001140252
540,-2.5708895153491826
541,-11.552839918436165
542,-11.512664543097229
543,-21.30163449763221
545,-11.46435360129097
546,-11.53076351521386
547,0.28028729415900777
548,-11.532409827187955
549,18.104103260117032
550,-11.558537092033674
551,-11.500102034759328
552,-11.520324590610235
553,-25.96125904335585
554,-11.521362633928822
555,-11.52413652039207
557,-11.501507038196904
558,-11.515700449713709
559,-11.545128086319467
560,-11.559253677105273
561,-23.24128494542378
562,-11.578041864046764
564,-11.501649967069765
565,-11.542456230944541
566,-11.535115652727184
567,-11.515452375353366
568,-28.373431879818472
570,-11.377374428829926
571,-11.53510967700403
572,-21.54186752977943
573,41.4520593091563
574,-11.58961029071322
575,-11.500241687209563
576,-16.188026636456048
577,-11.551841914533183
578,-11.544059919038228
580,56.906289678955616
581,-11.539689076665953
582,-11.576288844315382
584,-11.537663275106661
585,-11.55114947943229
586,-11.53166915252556
587,-11.484846880081552
588,9.325871945217903
589,-11.51727577606357
590,52.556802988579946
591,-11.415700511250492
592,-11.453347370297182
594,-11.538675916826989
595,-11.566436386802932
596,-11.5272277401085
597,-11.53886751345078
598,-11.532563985538864
599,-11.552544171308194
600,-11.549170235955884
601,-11.522821539510792
602,-11.544996032559188
603,92.75892021030816
604,-11.486995791015412
605,-11.53970120164925
606,-11.552993077238058
607,-11.53932566616292
608,-26.21044613747618
609,-11.395931173399743
611,-11.531107289397209
612,95.74427941714373
613,-11.584138236854905
615,-11.17373038808516
616,234.3109527591664
617,-11.529842183284499
618,-11.53185321625162
619,-11.535723335603436
620,-11.56891693403864
621,-11.547107904344779
622,-11.52722919523719
623,-11.534817683899718
624,-11.505237203197654
625,-22.797608771754312
626,-11.964630874283111
627,-24.05238186693987
628,-11.547485870607657
629,-11.52302345497988
630,-11.536042055214295
631,-25.51913036694617
632,-11.530402571862567
633,-38.438654524964775
634,-8.925351125616078
635,-11.381163087181832
636,0.5889491171190209
637,-14.535924948037033
638,-11.568888568006694
639,-11.5087450112086
640,-1.8135517791696776
641,-11.543555744789206
642,23.199152156930772
643,-41.931122623085926
644,-1.2758782104324613
645,-11.524528247480362
646,-11.535057339653385
647,-11.519497907750633
648,267.0766136227319
649,-11.521196506069098
650,-11.532154394974404
651,-11.474097913481563
652,-11.518139851446481
653,-11.543143659955414
654,-11.554869980365622
655,-6.390150077008702
656,24.20499211653826
657,-11.543424700804355
659,36.15513834227717
660,-11.539919814770883
661,-2.2596485429326814
663,-11.509674156864849
664,-21.34274223359432
665,-11.531463317810122
666,-11.527412687129324
667,-11.481778255383244
668,-11.487401502269917
669,-11.475825778038207
670,-11.546016119842411
671,-5.580143178732696
672,-11.52335933192214
673,423.0638218431256
674,-11.534862372209057
676,-11.477878286801378
677,-11.549431131963255
678,-11.48094477640551
679,-11.5636635616485
680,-11.532272516763284
681,-11.507691780323146
682,-11.544353431056246
683,-11.530083049520414
684,-24.89082165308787
685,-11.537962048138313
686,-11.567115548205528
687,-11.600474996927916
688,-11.52650411197312
689,-11.530181301455414
690,74.64197498602672
692,-11.513919367006846
693,-11.541388596929258
694,-11.525830376862595
695,-11.563992309744988
696,-11.563468196199471
697,-11.554130279416267
698,-11.525866595685878
699,-11.594247776023343
701,-11.54941527434457
702,-11.456619437996423
703,-5.1186304728669345
704,-11.552412399293852
705,-11.544552650667452
706,-11.545587165283766
707,-11.500770733366862
708,-11.47390141136202
709,-11.52749919890179
710,-11.473194544318165
712,-11.563550286698456
713,-11.539168136143244
714,-11.519390031836627
715,-11.529664656741346
716,-17.725256666921222
717,-11.403042871427015
718,-11.524597923889225
719,-11.544686593883807
720,-11.517133499091631
721,1204.4180518914743
722,-11.539390754715043
723,-11.476956200442022
724,22.388045479735823
725,-11.423847586444676
726,-11.51555457217083
727,-11.528585320622021
728,-11.573950342643379
729,-11.56383582285323
730,-11.528496797473771
731,1.6871012121111302
732,-11.525710292625384
733,-11.147921772738842
734,-11.55976083909064
735,-11.556608531076561
736,-11.541531978792968
737,-11.494586484548613
738,-11.541447783326783
739,-11.47530400136664
740,-11.537251593554421
741,-11.53438407753363
742,-11.549723546679008
743,-7.179983496377382
744,109.32532190223797
745,-11.53093669907842
746,-11.546548793486524
747,-11.536428880187174
748,37.998274131340565
749,-11.52146234792107
750,-11.50445221652358
751,-11.591006636019497
752,-11.52180994294101
753,-11.314907023782716
754,-11.521479644909146
755,-11.53408218804387
756,-11.511919968498361
757,-11.516085707501592
758,-39.758709117380285
759,-11.489292493511558
760,-11.533785388471749
761,-11.543680789979957
762,-11.48800939963564
763,-11.541313741408366
764,-11.537641629021923
765,-11.518289309456486
766,-11.536266982935027
767,-11.523946735243905
768,-11.560554058637509
769,-11.526105268172975
770,159.00754831195317
771,-11.503886297990995
773,-22.57170336013568
774,-11.56782939876341
775,3.5385990952685917
776,-11.501855772710382
778,-8.729417971547745
780,-11.556408920337182
781,-11.544416152189639
782,-11.555405282626042
783,-11.512867365392982
784,-11.519382365375483
785,-11.542545565529611
786,-11.546525595716616
787,-11.55292647934477
788,-11.51666620547087
790,-11.350793777420773
791,11.402861655521036
793,-11.52438349271163
794,-11.524538148347515
795,-11.56680283868943
796,-11.53344229247774
797,-11.543286213893996
798,-11.574340857490622
799,175.7059904663368
800,48.82911320516953
801,-11.569013604262507
802,-11.540020980403801
803,-11.542780156520651
804,-11.529342745563234
805,-11.527036277892995
807,-11.569929589838253
808,-11.542715993120085
809,-11.458687782553124
810,29.45716679090518
811,-11.470058379939134
812,-11.539165131250101
813,-11.52261015788867
814,-11.397052499335391
815,-11.563290836511793
816,-11.54015958437742
817,-11.533047597287023
818,-16.2864911082694
819,-11.552284564750872
820,-13.533885468160037
821,-11.512885165454227
822,-11.533882746164291
824,-29.66922162391116
825,-11.528235044169987
826,-11.530991705849805
827,40.225368841648816
828,-11.553426924736302
829,-11.334784523837683
830,-10.985670559217093
831,-11.558283299463318
832,-4.6117972611048925
833,-11.51354400253547
834,-13.874626293362965
835,-11.534731230715881
837,3.944863329571745
838,-11.486872909658052
839,-43.67834569024867
843,-11.518876747288072
844,-1.3275877898053248
845,-11.55759710055137
846,-11.528237719653369
847,-11.515388254516665
848,-9.936594410142444
849,-11.519397487980795
850,-11.51348644355334
851,-26.468902586244887
852,-11.534673468976505
853,554.1553985794252
854,-32.98334984670908
855,-11.527851021818819
856,-11.48967989082302
857,-9.804705443078895
858,-11.105724157268487
860,-11.524047428631672
862,-13.711326607330589
863,-11.540544055731619
864,-11.330813067654221
865,-35.38403390879415
866,-11.517979944494257
867,4.335525612253461
868,87.8846153292193
869,-11.547675250677221
870,-11.547954383833776
871,-17.121332918788845
872,317.5330807737891
873,-11.414564950867414
874,46.733479775287265
875,-11.560943293543653
876,-11.541860950292486
877,-11.560409771831049
878,-11.559422298402758
879,-11.570439547923028
880,15.18937490515457
881,90.44988881114001
882,-11.48605549566027
883,-25.143544431195274
884,-11.557615708293492
886,3.55063879142664
887,-11.486914365089357
888,-11.563347007636699
890,-11.47215515448337
891,-11.518428411159585
892,-11.538780678202453
893,-11.547620557975705
894,-11.556163176656334
895,-11.538779554269377
896,-11.551866958950102
897,-11.530489588212395
898,5.00647523628841
899,-11.543129903410572
900,-11.53344068282056
901,-11.527370278117678
902,-11.39004302125423
903,-11.537071630592907
904,12.760638520092133
905,-15.244863711673464
906,-11.541342362014612
907,71.53003354110169
908,-30.10289500412745
909,-11.530286024539269
910,-11.536284897969894
911,-11.518579703948479
912,-11.552152369985
913,7.64534614077456
914,-11.525759391915189
915,243.07662095738834
917,-11.556771435160943
918,-11.550078764684834
919,-30.602470358310352
920,313.29539183030937
921,-11.512529826769953
922,-23.8639524083457
923,-11.550017017833396
925,-11.260736323005917
926,-11.547971578268882
927,-11.558388812211959
928,-11.449664010106558
929,-11.33812265662443
930,-25.453352515100722
931,-11.56007873108389
932,-11.532810359734851
934,-11.553370251711389
935,-11.54421380081549
936,-11.53411116288787
937,-11.573448463463047
938,-11.452113346545154
939,-11.535542961129991
940,-3.883049528604431
941,-11.53802443498398
942,-11.514678767949137
943,-3.969221378671115
944,-10.97357801829224
945,-11.550822060143213
946,29.955752625943123
947,-11.535301912961435
948,21.397340024665546
949,-11.54855423104531
950,-11.502815522443457
951,-30.058650112577592
953,-11.556244845615769
954,-11.439952823753297
955,-11.545916824464328
956,-11.527953307269398
957,-11.140556426451802
958,-11.619367400310356
959,-11.530487119508493
960,-11.539588688211687
961,-11.145457728284509
962,-11.537030366467196
963,-11.505060431396073
964,-11.552408667129558
965,-11.518184818379435
966,15.595686483729171
967,-11.501056219848818
968,-11.535200870304104
969,-11.555624566626193
970,920.6724332480384
971,-11.527117426197165
972,-11.318762056358851
973,-11.563692204392835
974,-11.514978969747009
975,-11.534615385324852
976,-11.532520284496556
977,-11.53413601387856
978,-11.541481608201988
979,-11.47796381724034
980,104.50694680510392
981,-11.556952040663885
982,-11.531389083686156
983,-11.550041410071481
984,-11.53622330319642
986,-11.452792487807686
987,-11.495844739382063
988,-11.5313362970843
989,-32.623598768468725
990,-11.509084689046606
991,-11.534362984535964
992,-11.524630385116453
993,-11.45653649581213
995,146.5887682257426
996,-11.531643867016895
997,-11.547572452132423
998,27.363109903064547
999,-11.529879808962878
1000,-32.0464534088244
1001,-15.193381353586012
1002,-9.925364408767845
1004,-11.476555065757413
1005,-11.551895214297263
1006,-11.37003076852502
1007,23.445417122461638
1008,0.5353328132707914
1009,-12.225724443222523
1010,-11.46882990552737
1011,-11.441667394580643
1012,-4.66835990630849
1013,-11.544775598691858
1014,-11.487364470983849
1015,-11.553151297848107
1016,-11.533024318525758
1017,-11.533715018408266
1018,68.13789104688149
1019,-21.325460831531245
1020,-11.566752066145012
1021,-11.552221997796725
1023,-11.54296841478052
1024,-11.503303409652363
1025,12.3375934473619
1026,-11.54507828817607
1027,-11.481190989204935
1028,-11.5386167160254
1029,-11.531463260400146
1030,-11.525171690156963
1031,-11.498545498223859
1032,-11.585315473135042
1033,-11.537953861030715
1034,-11.422661679304179
1037,-11.5274295170768
1038,-11.515655089615597
1039,-11.508106275800039
1040,-11.521816691628961
1041,46.00849722047262
1042,-11.403374818916038
1043,-11.545591520826816
1044,-11.546766849184241
1045,-11.52465965557594
1046,-33.288446353877205
1047,-15.690573017887939
1048,-11.492152861819266
1049,-11.398610296003739
1050,16.125502793801747
1051,-11.47183997616427
1052,-11.545459256226712
1053,-11.51828959736156
1054,-11.53454741009134
1055,-11.546144559466626
1056,-16.856150410579104
1057,-1.8586925367086626
1058,-3.363305272264865
1059,-11.468307163586937
1060,118.07798234954248
1061,-11.537970984900204
1062,-11.552507240068316
1063,-11.523891987631119
1064,-11.564856004896882
1065,-11.576642965614184
1066,-11.209302402219057
1067,-11.4555270237979
1068,73.2770251616474
1069,-11.54871418489375
1070,-20.321002148192672
1071,-11.532654313745903
1072,-11.510236452614848
1073,-11.483921193509074
1075,-11.522638262283733
1076,-11.415184297962842
1077,-11.552303211224919
1079,-11.393852899691083
1080,-11.580360012104444
1082,-11.578787023200132
1083,-11.365426306434633
1084,-11.54749185161619
1085,-11.509656039690656
1086,-11.51251269886128
1087,-28.586800573800545
1088,-33.95173282577258
1089,-11.26727462182603
1090,-11.558125842519416
1091,-11.535609611232054
1092,-11.504425901454011
1093,-11.534541298486888
1094,-11.481142786389919
1095,32.970609501072325
1096,-21.43270817498619
1097,-11.476678791619118
1098,-11.524223736168679
1099,46.59637736295744
1100,67.5390733916186
1101,-11.320900607975858
1102,-11.547350228075345
1104,-11.535796371695557
1105,-11.556178252169705
1106,-11.523936511782939
1107,-11.530030704530207
1108,-34.968823508708155
1109,-11.547539779120353
1110,-11.44697447330823
1111,-11.547321758027646
1112,-11.530504285555523
1113,-7.309797619672516
1114,-20.707213227275485
1115,-11.560323247344778
1116,23.41300797419904
1117,-11.544283369709635
1118,-11.581885314271984
1119,-11.546415874773814
1122,-11.428801151351454
1123,-11.514278130934747
1124,-11.362013964084467
1125,-11.529355312272726
1126,-11.553126287339975
1127,-11.522677264751309
1128,-26.078889044211028
1129,-20.226518092800283
1130,-11.530264640618222
1131,-11.539481476033083
1132,-11.541022634882381
1133,-11.550135087953105
1134,-18.47352801145219
1135,-11.543118181916435
1136,-11.531244485168196
1137,-11.504964660748195
1138,-11.549046901470614
1139,-11.503628758563007
1140,-11.527981320713957
1141,-31.538342883368905
1142,-11.436841402563035
1143,-11.520607782360084
1144,-11.390458192452273
1145,-11.472042052035633
1146,-11.543702994688358
1147,-11.378435148168345
1148,64.7687676086809
1149,150.61671283134234
1150,-11.57555004750968
1151,-11.479372935729243
1152,-11.475785839567111
1153,-11.312970009475489
1155,-0.6323399888534823
1156,-11.549819748481097
1157,-11.410215596802873
1158,-11.546779389630672
1159,-11.546006030334977
1160,-11.419011052716936
1161,6.188216035023483
1162,-11.512763684900666
1163,799.3080169433646
1164,-11.525835181202506
1165,-11.499325329345142
1166,89.38876403781151
1167,82.23060359341555
1168,-11.55086361130223
1169,-11.541821694007204
1171,-11.544080005928686
1172,-11.546399517851636
1173,215.60888805820403
1174,-11.512116952950413
1175,-11.557256286861115
1176,-11.4291387701835
1177,432.0090655359729
1178,-11.555330086167729
1179,-26.086219624518307
1180,-11.545669337553237
1181,-11.524592451699167
1182,-14.059332817260602
1183,-11.537227836447586
1184,-11.538087449137114
1185,-11.500543305975668
1186,-11.520055164768824
1187,-11.537762447269444
1188,-31.904197020729324
1189,-11.548310882453224
1191,-11.536138387963332
1192,-11.525375698867874
1193,-11.385496618248611
1194,90.34085332889303
1195,-11.544391775611661
1196,-11.541129794308736
1197,-11.472974361467603
1198,-23.386012500569635
1199,-34.445395441264665
1201,-11.51397321216274
1202,-11.535898549458835
1203,-11.21625411738092
1204,-11.543666127958433
1205,-11.542774116940022
1207,-11.516285856352578
1208,-11.556660574874634
1209,-11.493174463071451
1210,6.442587917722832
1211,-11.518826508831955
1212,-11.548358573716932
1213,-38.888915121141956
1214,-11.543526978969494
1215,-11.458467171124083
1216,290.8654322839737
1217,-13.013390004038119
1218,-29.312379904686093
1220,-16.958817182810197
1221,-11.56255162159218
1222,-11.533169551321874
1223,-11.557553254169921
1224,-11.539693854576342
1225,-11.543652226618981
1226,-11.527911173821948
1227,-11.528981648177082
1228,-11.550049701520313
1229,-11.511614290135538
1230,-11.548656329784084
1231,-13.33580662662064
1232,-11.529319551037418
1233,-11.093607616477167
1234,-39.02235314910229
1236,-11.548339215766129
1237,-11.517783278388402
1238,32.05456926201778
1239,16.083052721038055
1240,-11.505918175798097
1241,-11.522256341629593
1242,-11.5309315915608
1243,-11.539645497261281
1244,16.087733244498455
1245,-11.521297026888927
1246,-11.524700486219167
1247,30.88928810546186
1248,-11.546982487102378
1249,-20.221520940557028
1250,-11.568755576361948
1251,-33.27319933817669
1252,-11.524513803669103
1254,-11.515428756370586
1255,-2.9310535698390834
1256,-11.523448958622861
1257,-11.540307687303171
1258,-11.527734609286453
1259,13.633206071107137
1260,3.328324154222443
1261,-5.885904151886235
1262,-39.38280849089245
1263,-25.048274220490786
1264,-11.567770512887897
1265,-11.547231408659602
1266,-11.553593837695612
1267,-11.506525525804822
1268,-11.558983995052044
1269,-11.515160223275448
1270,-24.971209595078005
1271,-11.469989125586473
1272,-11.517648934586902
1274,-11.554447275844623
1275,-11.512772724763446
1277,-11.495161971328686
1278,-15.110927452367749
1279,-33.65570244953706
1280,-11.38318684763942
1281,57.47813787175687
1282,-11.538360130001447
1283,-11.537643978524969
1284,-11.541129065806517
1285,-19.54161229399799
1286,-28.79004554465664
1288,-11.50119030849455
1289,-11.548835663257515
1290,-11.514205848221957
1291,91.28356810258866
1292,-11.388332984978259
1293,-11.316426217181062
1294,-11.491581463839486
1295,-11.443860117761915
1296,24.26163864115
1297,-11.558709653480545
1298,-11.532936235229979
1299,-16.81635568556953
1300,-11.54443595638053
1301,-12.40595918397566
1302,-11.539917332167148
1303,-11.502786956787004
1304,-11.538017421153173
1305,-14.6983816509412
1306,-11.529598426649578
1307,-11.531061423435746
1309,-1.103773750447084
1310,-11.572640364499307
1311,-25.70806540190214
1312,2.5285494850661867
1313,-11.497871802753847
1314,2.7108177981629664
1315,-11.564537955331945
1316,-11.499617380132648
1317,1267.22503400394
1318,-37.817104222154164
1319,-21.845449572959943
1320,-11.541414937868328
1321,52.092033587710866
1322,-11.527983255485637
1323,-10.946693933637206
1324,-11.52837827577664
1325,-11.54004719240863
1326,-9.27614597517392
1327,-11.450339489068277
1328,-11.523912344618562
1329,-11.543885017294665
1330,-28.78475340821613
1331,-11.51208872915621
1332,-11.541336381464737
1333,77.06005827924629
1335,-11.541472383099755
1337,-11.53260094591002
1338,-11.511075296023765
1339,-11.530448996533922
1340,-44.76029444956567
1341,79.68860780991626
1342,-11.545013471871117
1343,-24.134854984221707
1344,-10.108967802524305
1345,-20.958135784657056
1346,-11.545778379572425
1347,-11.549096235189968
1348,-11.520317818694073
1349,-11.538054244628022
1350,-11.541210879628675
1351,-20.47127552241345
1353,91.71419192504939
1354,2.778299294707802
1355,-11.54179722699465
1356,-11.565784039426164
1357,-11.521170557052113
